ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	sum	proportion
Environmental	Aquatic	Freshwater	Lake	Algal bloom	freshwater lake biome	freshwater algal bloom	lake water	ENVO_01000252	ENVO_2000005	ENVO_04000007	6.0	Environmental_Aquatic_Freshwater_Lake_Algal bloom	freshwater lake biome_freshwater algal bloom_lake water	6.0	1.0
Environmental	Aquatic	Marine	Continental margin	Sediment	marine biome	continental margin	marine sediment	ENVO_00000447	ENVO_01000298	ENVO_03000033	6.0	Environmental_Aquatic_Marine_Continental margin_Sediment	marine biome_continental margin_marine sediment	6.0	1.0
Environmental	Aquatic	Marine	Oil seeps	Unclassified	marine biome	oil seep	sea water	ENVO_00000447	ENVO_00002063	ENVO_00002149	6.0	Environmental_Aquatic_Marine_Oil seeps_Unclassified	marine biome_oil seep_sea water	6.0	1.0
Environmental	Aquatic	Marine	Sea ice	Unclassified	marine biome	island	sea ice	ENVO_00000447	ENVO_00000098	ENVO_00002200	6.0	Environmental_Aquatic_Marine_Sea ice_Unclassified	marine biome_island_sea ice	6.0	1.0
Environmental	Aquatic	Freshwater	Creek	Sediment	aquatic biome	bayou	sediment	ENVO_00002030	ENVO_00000234	ENVO_00002007	5.0	Environmental_Aquatic_Freshwater_Creek_Sediment	aquatic biome_bayou_sediment	5.0	1.0
Environmental	Aquatic	Marine	Intertidal zone	Mangrove sediment	mangrove biome	estuary	-	ENVO_01000181	ENVO_00000045	-	5.0	Environmental_Aquatic_Marine_Intertidal zone_Mangrove sediment	mangrove biome_estuary_-	5.0	1.0
Environmental	Aquatic	Marine	Ocean trench	Sediment	marine biome	ocean trench	deep marine sediment	ENVO_00000447	ENVO_00000275	ENVO_00002113	5.0	Environmental_Aquatic_Marine_Ocean trench_Sediment	marine biome_ocean trench_deep marine sediment	5.0	1.0
Environmental	Terrestrial	Asphalt lakes	Tar	Unclassified	terrestrial biome	asphalt lake	asphalt	ENVO_00000446	ENVO_00000165	ENVO_01000460	5.0	Environmental_Terrestrial_Asphalt lakes_Tar_Unclassified	terrestrial biome_asphalt lake_asphalt	5.0	1.0
Environmental	Aquatic	Freshwater	Storm water	Drainage pipe biofilm	aquatic biome	artificial channel	biofilm	ENVO_00002030	ENVO_00000121	ENVO_00002034	4.0	Environmental_Aquatic_Freshwater_Storm water_Drainage pipe biofilm	aquatic biome_artificial channel_biofilm	4.0	1.0
Environmental	Aquatic	Marine	Abyssopelagic	Unclassified	oceanic abyssopelagic zone biome	-	sea water	ENVO_01000038	-	ENVO_00002149	4.0	Environmental_Aquatic_Marine_Abyssopelagic_Unclassified	oceanic abyssopelagic zone biome_-_sea water	4.0	1.0
Environmental	Aquatic	Thermal springs	Warm (34-42C)	Sediment	aquatic biome	sulfur spring	sediment	ENVO_00002030	ENVO_00000126	ENVO_00002007	4.0	Environmental_Aquatic_Thermal springs_Warm (34-42C)_Sediment	aquatic biome_sulfur spring_sediment	4.0	1.0
Environmental	Terrestrial	Soil	Crop	Unclassified	forest biome	land	forest soil	ENVO_01000174	ENVO_01001785	ENVO_00002261	4.0	Environmental_Terrestrial_Soil_Crop_Unclassified	forest biome_land_forest soil	4.0	1.0
Environmental	Aquatic	Freshwater	Harbor	Unclassified	aquatic biome	harbor	fresh water	ENVO_00002030	ENVO_00000463	ENVO_00002011	3.0	Environmental_Aquatic_Freshwater_Harbor_Unclassified	aquatic biome_harbor_fresh water	3.0	1.0
Environmental	Aquatic	Marine	Oceanic	Oceanic crust	marine biome	oceanic zone	oceanic crust	ENVO_00000447	ENVO_00000207	ENVO_01000749	3.0	Environmental_Aquatic_Marine_Oceanic_Oceanic crust	marine biome_oceanic zone_oceanic crust	3.0	1.0
Environmental	Aquatic	Marine	Subtidal zone	Sediment	marine subtidal rocky reef biome	marine subtidal rocky reef	marine sediment	ENVO_01000050	ENVO_01000150	ENVO_03000033	3.0	Environmental_Aquatic_Marine_Subtidal zone_Sediment	marine subtidal rocky reef biome_marine subtidal rocky reef_marine sediment	3.0	1.0
Environmental	Aquatic	Non-marine Saline and Alkaline	Lake	Brine	aquatic biome	lake	brine	ENVO_00002030	ENVO_00000020	ENVO_00003044	3.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Lake_Brine	aquatic biome_lake_brine	3.0	1.0
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Athalassic	aquatic biome	hypersaline lake	hypersaline water	ENVO_00002030	ENVO_01001020	ENVO_00002012	3.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Athalassic	aquatic biome_hypersaline lake_hypersaline water	3.0	1.0
Environmental	Terrestrial	Soil	Unclassified	Mine drainage	terrestrial biome	mine drainage	contaminated soil	ENVO_00000446	ENVO_00001996	ENVO_00002116	3.0	Environmental_Terrestrial_Soil_Unclassified_Mine drainage	terrestrial biome_mine drainage_contaminated soil	3.0	1.0
Environmental	Aquatic	Freshwater	Groundwater	Mine	freshwater biome	mine drainage	groundwater	ENVO_00000873	ENVO_00001996	ENVO_01001004	2.0	Environmental_Aquatic_Freshwater_Groundwater_Mine	freshwater biome_mine drainage_groundwater	2.0	1.0
Environmental	Aquatic	Freshwater	Groundwater	Spring	aquatic biome	spring	groundwater	ENVO_00002030	ENVO_00000027	ENVO_01001004	2.0	Environmental_Aquatic_Freshwater_Groundwater_Spring	aquatic biome_spring_groundwater	2.0	1.0
Environmental	Aquatic	Freshwater	Lentic	Hypolimnion	freshwater lake biome	freshwater lake	lake sediment	ENVO_01000252	ENVO_00000021	ENVO_00000546	2.0	Environmental_Aquatic_Freshwater_Lentic_Hypolimnion	freshwater lake biome_freshwater lake_lake sediment	2.0	1.0
Environmental	Aquatic	Freshwater	Lentic	Littoral zone	freshwater lake biome	freshwater littoral zone	lake water	ENVO_01000252	ENVO_01000409	ENVO_04000007	2.0	Environmental_Aquatic_Freshwater_Lentic_Littoral zone	freshwater lake biome_freshwater littoral zone_lake water	2.0	1.0
Environmental	Aquatic	Freshwater	Sinkhole	Microbial mats	freshwater biome	sinkhole	microbial mat	ENVO_00000873	ENVO_00000195	ENVO_01000008	2.0	Environmental_Aquatic_Freshwater_Sinkhole_Microbial mats	freshwater biome_sinkhole_microbial mat	2.0	1.0
Environmental	Aquatic	Marine	Intertidal zone	Mangrove swamp	mangrove biome	estuary	-	ENVO_01000181	ENVO_00000045	-	2.0	Environmental_Aquatic_Marine_Intertidal zone_Mangrove swamp	mangrove biome_estuary_-	2.0	1.0
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Epilimnion	aquatic biome	lagoon	saline water	ENVO_00002030	ENVO_00000038	ENVO_00002010	2.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Epilimnion	aquatic biome_lagoon_saline water	2.0	1.0
Environmental	Aquatic	Thermal springs	Warm (34-42C)	Unclassified	aquatic biome	hot spring	-	ENVO_00002030	ENVO_00000051	-	2.0	Environmental_Aquatic_Thermal springs_Warm (34-42C)_Unclassified	aquatic biome_hot spring_-	2.0	1.0
Environmental	Terrestrial	Asphalt lakes	Unclassified	Unclassified	aquatic biome	asphalt lake	contaminated water	ENVO_00002030	ENVO_00000165	ENVO_00002186	2.0	Environmental_Terrestrial_Asphalt lakes_Unclassified_Unclassified	aquatic biome_asphalt lake_contaminated water	2.0	1.0
Environmental	Terrestrial	Desert	Unclassified	Unclassified	desert biome	desert	-	ENVO_01000179	ENVO_01001357	-	2.0	Environmental_Terrestrial_Desert_Unclassified_Unclassified	desert biome_desert_-	2.0	1.0
Environmental	Terrestrial	Oil reservoir	Sediment	Unclassified	terrestrial biome	oil reservoir	sediment	ENVO_00000446	ENVO_00002185	ENVO_00002007	2.0	Environmental_Terrestrial_Oil reservoir_Sediment_Unclassified	terrestrial biome_oil reservoir_sediment	2.0	1.0
Environmental	Terrestrial	Soil	Sand	Oil-contaminated	terrestrial biome	outcrop	sand	ENVO_00000446	ENVO_01000302	ENVO_01000017	2.0	Environmental_Terrestrial_Soil_Sand_Oil-contaminated	terrestrial biome_outcrop_sand	2.0	1.0
Environmental	Terrestrial	Soil	Unclassified	Mine	terrestrial biome	mine	soil	ENVO_00000446	ENVO_00000076	ENVO_00001998	2.0	Environmental_Terrestrial_Soil_Unclassified_Mine	terrestrial biome_mine_soil	2.0	1.0
Host-associated	Plants	Roots	Rhizosphere	Unclassified	terrestrial biome	rhizosphere	rhizosphere	ENVO_00000446	ENVO_00005801	ENVO_00005801	2.0	Host-associated_Plants_Roots_Rhizosphere_Unclassified	terrestrial biome_rhizosphere_rhizosphere	2.0	1.0
Environmental	Aquatic	Freshwater	Drinking water	Unchlorinated	aquatic biome	-	drinking water	ENVO_00002030	-	ENVO_00003064	1.0	Environmental_Aquatic_Freshwater_Drinking water_Unchlorinated	aquatic biome_-_drinking water	1.0	1.0
Environmental	Aquatic	Freshwater	Ice	Ice accretions	polar biome	glacial lake	ice	ENVO_01000339	ENVO_00000488	ENVO_01001125	1.0	Environmental_Aquatic_Freshwater_Ice_Ice accretions	polar biome_glacial lake_ice	1.0	1.0
Environmental	Aquatic	Marine	Intertidal zone	Oil-contaminated	marine biome	oil spill	sea water	ENVO_00000447	ENVO_00002061	ENVO_00002149	1.0	Environmental_Aquatic_Marine_Intertidal zone_Oil-contaminated	marine biome_oil spill_sea water	1.0	1.0
Environmental	Aquatic	Marine	Mud volcano	Unclassified	marine benthic biome	mud volcano	marine sediment	ENVO_01000024	ENVO_00000402	ENVO_03000033	1.0	Environmental_Aquatic_Marine_Mud volcano_Unclassified	marine benthic biome_mud volcano_marine sediment	1.0	1.0
﻿Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	island	planktonic material	ENVO_00000447	ENVO_00000098	ENVO_01000063	1.0	﻿Environmental_Aquatic_Marine_Oceanic_Unclassified	marine biome_island_planktonic material	1.0	1.0
Environmental	Aquatic	Marine	Unclassified	Oil-contaminated sediment	aquatic biome	island	-	ENVO_00002030	ENVO_00000098	-	1.0	Environmental_Aquatic_Marine_Unclassified_Oil-contaminated sediment	aquatic biome_island_-	1.0	1.0
Environmental	Aquatic	Non-marine Saline and Alkaline	Near-boiling (>90C)	Alkaline	aquatic biome	hot spring	-	ENVO_00002030	ENVO_00000051	-	1.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Near-boiling (>90C)_Alkaline	aquatic biome_hot spring_-	1.0	1.0
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Thalassic	marine biome	lagoon	saline water	ENVO_00000447	ENVO_00000038	ENVO_00002010	1.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Thalassic	marine biome_lagoon_saline water	1.0	1.0
Environmental	Aquatic	Thermal springs	Tepid (25-34C)	Sediment	aquatic biome	volcano	sediment	ENVO_00002030	ENVO_00000247	ENVO_00002007	1.0	Environmental_Aquatic_Thermal springs_Tepid (25-34C)_Sediment	aquatic biome_volcano_sediment	1.0	1.0
Environmental	Aquatic	Thermal springs	Tepid (25-34C)	Unclassified	aquatic biome	hot spring	-	ENVO_00002030	ENVO_00000051	-	1.0	Environmental_Aquatic_Thermal springs_Tepid (25-34C)_Unclassified	aquatic biome_hot spring_-	1.0	1.0
Environmental	Terrestrial	Soil	Bulk soil	Agricultural land	terrestrial biome	agricultural field	bulk soil	ENVO_00000446	ENVO_00000114	ENVO_00005802	1.0	Environmental_Terrestrial_Soil_Bulk soil_Agricultural land	terrestrial biome_agricultural field_bulk soil	1.0	1.0
Environmental	Terrestrial	Soil	Sand	Grasslands	grassland biome	land	grassland soil	ENVO_01000177	ENVO_01001785	ENVO_00005750	1.0	Environmental_Terrestrial_Soil_Sand_Grasslands	grassland biome_land_grassland soil	1.0	1.0
Environmental	Terrestrial	Soil	Unclassified	Shrubland	terrestrial biome	rhizosphere	soil	ENVO_00000446	ENVO_00005801	ENVO_00001998	1.0	Environmental_Terrestrial_Soil_Unclassified_Shrubland	terrestrial biome_rhizosphere_soil	1.0	1.0
Environmental	Terrestrial	Volcanic	Unclassified	Unclassified	terrestrial biome	mud volcano	sediment	ENVO_00000446	ENVO_00000402	ENVO_00002007	1.0	Environmental_Terrestrial_Volcanic_Unclassified_Unclassified	terrestrial biome_mud volcano_sediment	1.0	1.0
Environmental	Aquatic	Marine	Inlet	Unclassified	marine biome	coastal inlet	sea water	ENVO_00000447	ENVO_00000137	ENVO_00002149	1104.0	Environmental_Aquatic_Marine_Inlet_Unclassified	marine biome_coastal inlet_sea water	1122.0	0.983957219251337
Environmental	Aquatic	Marine	Hydrothermal vents	Diffuse flow	marine hydrothermal vent biome	marine hydrothermal vent	hydrothermal fluid	ENVO_01000030	ENVO_01000122	ENVO_01000134	229.0	Environmental_Aquatic_Marine_Hydrothermal vents_Diffuse flow	marine hydrothermal vent biome_marine hydrothermal vent_hydrothermal fluid	233.0	0.9828326180257511
Environmental	Terrestrial	Soil	Fossil	Unclassified	terrestrial biome	archeological site	fossil	ENVO_00000446	ENVO_00000564	ENVO_00002164	111.0	Environmental_Terrestrial_Soil_Fossil_Unclassified	terrestrial biome_archeological site_fossil	113.0	0.9823008849557522
Environmental	Air	Outdoor Air	Unclassified	Unclassified	-	atmospheric layer	air	-	ENVO_01000543	ENVO_00002005	1117.0	Environmental_Air_Outdoor Air_Unclassified_Unclassified	-_atmospheric layer_air	1147.0	0.97384481255449
Environmental	Terrestrial	Nest	Alligator nest	Unclassified	terrestrial biome	animal habitation	-	ENVO_00000446	ENVO_00005803	-	34.0	Environmental_Terrestrial_Nest_Alligator nest_Unclassified	terrestrial biome_animal habitation_-	35.0	0.9714285714285714
Environmental	Terrestrial	Soil	Glacier	Unclassified	terrestrial biome	glacial feature	soil	ENVO_00000446	ENVO_00000131	ENVO_00001998	65.0	Environmental_Terrestrial_Soil_Glacier_Unclassified	terrestrial biome_glacial feature_soil	67.0	0.9701492537313433
Environmental	Aquatic	Marine	Oceanic	Crustal Fluids	marine biome	marine water body	-	ENVO_00000447	ENVO_00001999	-	32.0	Environmental_Aquatic_Marine_Oceanic_Crustal Fluids	marine biome_marine water body_-	33.0	0.9696969696969697
Environmental	Aquatic	Freshwater	Ice	Glacial lake	freshwater lake biome	ice-covered lake	microbial mat	ENVO_01000252	ENVO_00000198	ENVO_01000008	306.0	Environmental_Aquatic_Freshwater_Ice_Glacial lake	freshwater lake biome_ice-covered lake_microbial mat	321.0	0.9532710280373832
Environmental	Air	Indoor Air	Dust	Unclassified	anthropogenic terrestrial biome	sports facility	dust	ENVO_01000219	ENVO_00000565	ENVO_00002008	116.0	Environmental_Air_Indoor Air_Dust_Unclassified	anthropogenic terrestrial biome_sports facility_dust	122.0	0.9508196721311475
Environmental	Aquatic	Thermal springs	Sediment	Unclassified	aquatic biome	hot spring	sediment	ENVO_00002030	ENVO_00000051	ENVO_00002007	19.0	Environmental_Aquatic_Thermal springs_Sediment_Unclassified	aquatic biome_hot spring_sediment	20.0	0.95
Environmental	Aquatic	Freshwater	Lake	Hypolimnion	freshwater lake biome	hypolimnion	lake water	ENVO_01000252	ENVO_00002130	ENVO_04000007	74.0	Environmental_Aquatic_Freshwater_Lake_Hypolimnion	freshwater lake biome_hypolimnion_lake water	78.0	0.9487179487179487
Environmental	Terrestrial	Soil	Unclassified	Tropical rainforest	forest biome	tropical forest	forest soil	ENVO_01000174	ENVO_01001803	ENVO_00002261	21.0	Environmental_Terrestrial_Soil_Unclassified_Tropical rainforest	forest biome_tropical forest_forest soil	23.0	0.9130434782608695
Environmental	Terrestrial	Soil	Clay	Grasslands	grassland biome	land	bulk soil	ENVO_01000177	ENVO_01001785	ENVO_00005802	31.0	Environmental_Terrestrial_Soil_Clay_Grasslands	grassland biome_land_bulk soil	34.0	0.9117647058823529
Environmental	Aquatic	Marine	Pelagic	Unclassified	marine biome	marine pelagic zone	sea water	ENVO_00000447	ENVO_00000208	ENVO_00002149	152.0	Environmental_Aquatic_Marine_Pelagic_Unclassified	marine biome_marine pelagic zone_sea water	171.0	0.8888888888888888
