subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDVOCAB:Boreal-forest	Boreal forest	skos:closeMatch	ENVO:01000250	subpolar coniferous forest biome	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasNarrowSynonym	boreal forest
GOLDVOCAB:Brine	Brine	skos:exactMatch	ENVO:00003044	brine	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	brine
GOLDVOCAB:Building	Building	skos:exactMatch	ENVO:00000073	building	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	building
GOLDVOCAB:Bulk-soil	Bulk soil	skos:exactMatch	ENVO:00005802	bulk soil	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	bulk soil
GOLDVOCAB:Canal	Canal	skos:exactMatch	ENVO:00000014	canal	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	canal
GOLDVOCAB:Carcass	Carcass	skos:exactMatch	ENVO:00002033	carcass	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	carcass
GOLDVOCAB:Cave	Cave	skos:exactMatch	ENVO:00000067	cave	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cave
GOLDVOCAB:City	City	skos:exactMatch	ENVO:00000856	city	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	city
GOLDVOCAB:Clay	Clay	skos:exactMatch	ENVO:00002982	clay	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	clay
GOLDVOCAB:Coal	Coal	skos:exactMatch	ENVO:02000091	coal	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	coal
GOLDVOCAB:Coal-mine	Coal mine	skos:exactMatch	ENVO:00002169	coal mine	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	coal mine
GOLDVOCAB:Compost	Compost	skos:exactMatch	ENVO:00002170	compost	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	compost
GOLDVOCAB:Continental-margin	Continental margin	skos:exactMatch	ENVO:01000298	continental margin	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	continental margin
GOLDVOCAB:Cooling-water	Cooling water	skos:exactMatch	ENVO:03600002	cooling water	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cooling water
GOLDVOCAB:Coral-reef	Coral reef	skos:exactMatch	ENVO:00000150	coral reef	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	coral reef
GOLDVOCAB:Creek	Creek	skos:exactMatch	ENVO:00000023	stream	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	creek
GOLDVOCAB:Cyanobacterial-bloom	Cyanobacterial bloom	skos:exactMatch	ENVO:03600071	cyanobacterial bloom	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cyanobacterial bloom
GOLDVOCAB:Dairy-farm	Dairy farm	skos:exactMatch	ENVO:03501120	dairy farm	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	dairy farm
GOLDVOCAB:Desert	Desert	skos:exactMatch	ENVO:01001357	desert	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	desert
GOLDVOCAB:Drinking-water	Drinking water	skos:exactMatch	ENVO:00003064	drinking water	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	drinking water
GOLDVOCAB:Drinking-water-pipeline	Drinking water pipeline	skos:exactMatch	ENVO:03600003	drinking water pipeline network	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasBroadSynonym	drinking water pipeline
GOLDVOCAB:Drinking-water-treatment-plant	Drinking water treatment plant	skos:exactMatch	ENVO:03600004	drinking water treatment plant	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	drinking water treatment plant
GOLDVOCAB:Dust	Dust	skos:exactMatch	ENVO:00002008	dust	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	dust
GOLDVOCAB:Epilimnion	Epilimnion	skos:exactMatch	ENVO:00002131	epilimnion	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	epilimnion
GOLDVOCAB:Estuary	Estuary	skos:exactMatch	ENVO:00000045	estuary	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	estuary
GOLDVOCAB:Farm	Farm	skos:exactMatch	ENVO:00000078	farm	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	farm
GOLDVOCAB:Feedlot	Feedlot	skos:exactMatch	ENVO:01000627	feedlot	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	feedlot
GOLDVOCAB:Fen	Fen	skos:exactMatch	ENVO:00000232	fen	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	fen
GOLDVOCAB:Fermentation-pit	Fermentation pit	skos:exactMatch	ENVO:03600039	fermentation pit	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	fermentation pit
GOLDVOCAB:Fermentation-starter	Fermentation starter	skos:exactMatch	ENVO:03600040	fermentation starter	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	fermentation starter
GOLDVOCAB:Fjord	Fjord	skos:exactMatch	ENVO:00000039	fjord	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	fjord
GOLDVOCAB:Floodplain	Floodplain	skos:exactMatch	ENVO:00000255	flood plain	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	floodplain
GOLDVOCAB:Food-waste	Food waste	skos:exactMatch	ENVO:03600006	food waste	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	food waste
GOLDVOCAB:Forest	Forest	skos:exactMatch	ENVO:01001243	forested ecosystem	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	forest
