subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDTERMS:5156	Host-associated > Chordata	skos:exactMatch	NCBITaxon:7711	Chordata	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	chordata
GOLDTERMS:5173	Host-associated > Cephalochordata	skos:exactMatch	NCBITaxon:7735	Cephalochordata	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	cephalochordata
GOLDTERMS:5187	Host-associated > Petromyzon	skos:exactMatch	NCBITaxon:7756	Petromyzon	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	petromyzon
GOLDTERMS:5299	Host-associated > Arthropoda > Aphids	skos:exactMatch	NCBITaxon:33380	Aphidomorpha	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	aphids
GOLDTERMS:5761	Host-associated > Mollusca > Bivalves	skos:exactMatch	NCBITaxon:6544	Bivalvia	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	bivalves
GOLDTERMS:Host-associated-Amoebozoa	Host-associated > Amoebozoa	skos:exactMatch	NCBITaxon:554915	Amoebozoa	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	amoebozoa
GOLDTERMS:Host-associated-Arthropoda-Bee	Host-associated > Arthropoda > Bee	skos:exactMatch	NCBITaxon:34735	Apoidea	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	oio:hasExactSynonym	bee
GOLDVOCAB:Amoebozoa	Amoebozoa	skos:exactMatch	NCBITaxon:554915	Amoebozoa	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	amoebozoa
GOLDVOCAB:Amphibia	Amphibia	skos:exactMatch	NCBITaxon:8292	Amphibia	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	amphibia
GOLDVOCAB:Annelida	Annelida	skos:exactMatch	NCBITaxon:6340	Annelida	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	annelida
GOLDVOCAB:Aphids	Aphids	skos:exactMatch	NCBITaxon:33380	Aphidomorpha	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	aphids
GOLDVOCAB:Arthropoda	Arthropoda	skos:exactMatch	NCBITaxon:6656	Arthropoda	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	arthropoda
GOLDVOCAB:Bacteria	Bacteria	skos:exactMatch	NCBITaxon:2	Bacteria	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	bacteria
GOLDVOCAB:Bee	Bee	skos:exactMatch	NCBITaxon:34735	Apoidea	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	bee
GOLDVOCAB:Birds	Birds	skos:exactMatch	NCBITaxon:8782	Aves	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	birds
GOLDVOCAB:Bivalves	Bivalves	skos:exactMatch	NCBITaxon:6544	Bivalvia	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	bivalves
GOLDVOCAB:Brown-Algae	Brown Algae	skos:exactMatch	NCBITaxon:2870	Phaeophyceae	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	brown algae
GOLDVOCAB:Bryozoans	Bryozoans	skos:exactMatch	NCBITaxon:10205	Bryozoa	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	bryozoans
GOLDVOCAB:Cephalochordata	Cephalochordata	skos:exactMatch	NCBITaxon:7735	Cephalochordata	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cephalochordata
GOLDVOCAB:Chordata	Chordata	skos:exactMatch	NCBITaxon:7711	Chordata	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	chordata
GOLDVOCAB:Cnidaria	Cnidaria	skos:exactMatch	NCBITaxon:6073	Cnidaria	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	cnidaria
GOLDVOCAB:Copepoda	Copepoda	skos:exactMatch	NCBITaxon:6830	Copepoda	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	copepoda
GOLDVOCAB:Crustacea	Crustacea	skos:exactMatch	NCBITaxon:6657	Crustacea	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	crustacea
GOLDVOCAB:Ctenophora	Ctenophora	skos:exactMatch	NCBITaxon:10197	Ctenophora <comb jellies>	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	ctenophora
GOLDVOCAB:Dinoflagellates	Dinoflagellates	skos:exactMatch	NCBITaxon:2864	Dinophyceae	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	dinoflagellates
GOLDVOCAB:Echinodermata	Echinodermata	skos:exactMatch	NCBITaxon:7586	Echinodermata	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	echinodermata
GOLDVOCAB:Fungi	Fungi	skos:exactMatch	NCBITaxon:4751	Fungi	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	fungi
GOLDVOCAB:Golden-Algae	Golden Algae	skos:exactMatch	NCBITaxon:2825	Chrysophyceae	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	golden algae
GOLDVOCAB:Green-algae	Green algae	skos:exactMatch	NCBITaxon:3041	Chlorophyta	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	green algae
GOLDVOCAB:Haptophytes	Haptophytes	skos:closeMatch	NCBITaxon:2830	Haptophyta	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	haptophytes
GOLDVOCAB:Horse	Horse	skos:exactMatch	NCBITaxon:9796	Equus caballus	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	horse
GOLDVOCAB:Human	Human	skos:exactMatch	NCBITaxon:9606	Homo sapiens	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	human
GOLDVOCAB:Insecta	Insecta	skos:exactMatch	NCBITaxon:50557	Insecta	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	insecta
GOLDVOCAB:Mammals	Mammals	skos:exactMatch	NCBITaxon:40674	Mammalia	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	mammals
GOLDVOCAB:Mollusca	Mollusca	skos:exactMatch	NCBITaxon:6447	Mollusca	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	mollusca
GOLDVOCAB:Nematoda	Nematoda	skos:exactMatch	NCBITaxon:6231	Nematoda	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	nematoda
GOLDVOCAB:Oomycetes	Oomycetes	skos:closeMatch	NCBITaxon:4762	Oomycota	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	oomycetes
GOLDVOCAB:Oomycetes	Oomycetes	skos:closeMatch	NCBITaxon:4762	Oomycota	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	oomycetes
GOLDVOCAB:Petromyzon	Petromyzon	skos:exactMatch	NCBITaxon:7756	Petromyzon	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	petromyzon
GOLDVOCAB:Plants	Plants	skos:exactMatch	NCBITaxon:3193	Embryophyta	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	plants
GOLDVOCAB:Platyhelminthes	Platyhelminthes	skos:exactMatch	NCBITaxon:6157	Platyhelminthes	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	platyhelminthes
GOLDVOCAB:Porifera	Porifera	skos:exactMatch	NCBITaxon:6040	Porifera	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	porifera
GOLDVOCAB:Primate	Primate	skos:exactMatch	NCBITaxon:9443	Primates	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	primate
GOLDVOCAB:Red-algae	Red algae	skos:exactMatch	NCBITaxon:2763	Rhodophyta	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	red algae
GOLDVOCAB:Reptilia	Reptilia	skos:closeMatch	NCBITaxon:1294634	Crocodylia	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	reptilia
GOLDVOCAB:Reptilia	Reptilia	skos:closeMatch	NCBITaxon:8459	Testudines	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	reptilia
