subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
GOLDVOCAB:Grasshopper	Grasshopper	skos:closeMatch	FOODON:03412496	grasshopper	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	grasshopper
GOLDVOCAB:Green-algae	Green algae	skos:closeMatch	FOODON:03412502	green algae	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	green algae
GOLDVOCAB:Horse	Horse	skos:closeMatch	FOODON:03411229	horse	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	horse
GOLDVOCAB:Ice-cream	Ice cream	skos:exactMatch	FOODON:00001045	ice cream food product	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	ice cream
GOLDVOCAB:Lichen	Lichen	skos:closeMatch	FOODON:03412345	lichen	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	lichen
GOLDVOCAB:Lobster	Lobster	skos:closeMatch	FOODON:00002468	lobster	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	lobster
GOLDVOCAB:Milk	Milk	skos:exactMatch	FOODON:03307455	cow milk (raw)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	milk
GOLDVOCAB:Mollusca	Mollusca	skos:closeMatch	FOODON:03412112	mollusc	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	mollusca
GOLDVOCAB:Oyster	Oyster	skos:closeMatch	FOODON:03411224	oyster	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	oyster
GOLDVOCAB:Palm-oil	Palm oil	skos:closeMatch	FOODON:03310232	palm oil	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	palm oil
GOLDVOCAB:Red-algae	Red algae	skos:closeMatch	FOODON:03411743	red algae	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	red algae
GOLDVOCAB:Royal-jelly	Royal jelly	skos:exactMatch	FOODON:03301033	royal jelly	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	royal jelly
GOLDVOCAB:Seaweed	Seaweed	skos:exactMatch	FOODON:03412266	seaweed	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	seaweed
GOLDVOCAB:Shrimp	Shrimp	skos:closeMatch	FOODON:03411237	shrimp	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	shrimp
GOLDVOCAB:Sourdough	Sourdough	skos:exactMatch	FOODON:03302481	sourdough bread	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	sourdough
GOLDVOCAB:Soy-sauce	Soy sauce	skos:exactMatch	FOODON:03301115	soy sauce	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	soy sauce
GOLDVOCAB:Soybean-paste	Soybean paste	skos:exactMatch	FOODON:03310002	soybean paste	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	soybean paste
GOLDVOCAB:Vegetable	Vegetable	skos:exactMatch	FOODON:03315308	vegetable (whole or pieces)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	vegetable
GOLDVOCAB:Vinegar	Vinegar	skos:exactMatch	FOODON:03301705	vinegar	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	vinegar
GOLDTERMS:4252	Engineered > Food production > Fermented beverages	skos:exactMatch	FOODON:00001094	fermented beverage	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	fermented beverage	semapv:RegularExpressionReplacement	
GOLDTERMS:4253	Engineered > Food production > Dairy products	skos:exactMatch	FOODON:00001256	dairy food product	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	dairy product	semapv:RegularExpressionReplacement	
GOLDTERMS:4488	Engineered > Food production > Meat products	skos:exactMatch	FOODON:03317170	meat (whole or pieces)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	meat product	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
GOLDTERMS:5454	Engineered > Food production > Meat products > Fermented meat products	skos:exactMatch	FOODON:00001314	fermented meat product	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	fermented meat product	semapv:RegularExpressionReplacement	
GOLDTERMS:5469	Engineered > Food production > Meat products > Beef	skos:exactMatch	FOODON:00001041	cow food product	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	beef		semapv:RegularExpressionReplacement
GOLDVOCAB:Beef	Beef	skos:exactMatch	FOODON:00001041	cow food product	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	beef food product		
GOLDVOCAB:Dairy-products	Dairy products	skos:exactMatch	FOODON:00001256	dairy food product	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	oio:hasExactSynonym	dairy product	semapv:RegularExpressionReplacement	
GOLDVOCAB:Fermented-beverages	Fermented beverages	skos:exactMatch	FOODON:00001094	fermented beverage	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	fermented beverage	semapv:RegularExpressionReplacement	
GOLDVOCAB:Fermented-meat-products	Fermented meat products	skos:exactMatch	FOODON:00001314	fermented meat product	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	fermented meat product	semapv:RegularExpressionReplacement	
GOLDVOCAB:Meat-products	Meat products	skos:exactMatch	FOODON:03317170	meat (whole or pieces)	semapv:LexicalMatching	oaklib	0.5	oio:hasRelatedSynonym	rdfs:label	meat product	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
GOLDVOCAB:Nectar	Nectar	skos:exactMatch	FOODON:03315553	nectar (food product)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	nectar		semapv:RegularExpressionReplacement
GOLDVOCAB:Drinking-water	Drinking water	skos:exactMatch	FOODON:03301647	drinking water (purified)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	drinking water		semapv:RegularExpressionReplacement


