ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	count_prop	sum_gp	proportion_gp	sum_mixs	proportion_mixs	interest
Environmental	Aquatic	Marine	Pelagic	Unclassified	marine biome	marine pelagic zone	sea water	ENVO_00000447	ENVO_00000208	ENVO_00002149	152.0	Environmental_Aquatic_Marine_Pelagic_Unclassified	marine biome_marine pelagic zone_sea water	0.05519244734931009	171.0	0.8888888888888888	153.0	0.9934640522875817	0.04873929991050187
Environmental	Aquatic	Freshwater	Wetlands	Soil	estuarine biome	wetland area	soil	ENVO_01000020	ENVO_00000043	ENVO_00001998	112.0	Environmental_Aquatic_Freshwater_Wetlands_Soil	estuarine biome_wetland area_soil	0.04066811909949165	112.0	1.0	112.0	1.0	0.04066811909949165
Environmental	Air	Indoor Air	Dust	Unclassified	anthropogenic terrestrial biome	sports facility	dust	ENVO_01000219	ENVO_00000565	ENVO_00002008	116.0	Environmental_Air_Indoor Air_Dust_Unclassified	anthropogenic terrestrial biome_sports facility_dust	0.04212055192447349	122.0	0.9508196721311475	116.0	1.0	0.04004904937081086
Environmental	Terrestrial	Soil	Fossil	Unclassified	terrestrial biome	archeological site	fossil	ENVO_00000446	ENVO_00000564	ENVO_00002164	111.0	Environmental_Terrestrial_Soil_Fossil_Unclassified	terrestrial biome_archeological site_fossil	0.04030501089324619	113.0	0.9823008849557522	112.0	0.9910714285714286	0.039238151012617434
Environmental	Aquatic	Marine	Intertidal zone	Coral reef	marine coral reef biome	coral reef	sea water	ENVO_01000049	ENVO_00000150	ENVO_00002149	142.0	Environmental_Aquatic_Marine_Intertidal zone_Coral reef	marine coral reef biome_coral reef_sea water	0.05156136528685548	193.0	0.7357512953367875	142.0	1.0	0.03793634129913719
Environmental	Aquatic	Freshwater	Lake	Sediment	freshwater lake biome	freshwater lake	lake sediment	ENVO_01000252	ENVO_00000021	ENVO_00000546	311.0	Environmental_Aquatic_Freshwater_Lake_Sediment	freshwater lake biome_freshwater lake_lake sediment	0.11292665214233842	567.0	0.5485008818342152	516.0	0.6027131782945736	0.03733227623237738
Environmental	Aquatic	Marine	Hypoxic zone	Unclassified	marine biome	marine oxygen minimum zone	sea water	ENVO_00000447	ENVO_01000065	ENVO_00002149	110.0	Environmental_Aquatic_Marine_Hypoxic zone_Unclassified	marine biome_marine oxygen minimum zone_sea water	0.03994190268700073	110.0	1.0	119.0	0.9243697478991597	0.03692108651739563
Environmental	Aquatic	Freshwater	Pond	Sediment	freshwater biome	pond		ENVO_00000873	ENVO_00000033		108.0	Environmental_Aquatic_Freshwater_Pond_Sediment	freshwater biome_pond_	0.0392156862745098	126.0	0.8571428571428571	108.0	1.0	0.03361344537815126
Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Unclassified	aquatic biome	saline lake	saline water	ENVO_00002030	ENVO_00000019	ENVO_00002010	191.0	Environmental_Aquatic_Non-marine Saline and Alkaline_Saline_Unclassified	aquatic biome_saline lake_saline water	0.06935366739288308	409.0	0.4669926650366748	191.0	1.0	0.0323876539658696
Environmental	Terrestrial	Soil	Wetlands	Unclassified	terrestrial biome	wetland area	soil	ENVO_00000446	ENVO_00000043	ENVO_00001998	152.0	Environmental_Terrestrial_Soil_Wetlands_Unclassified	terrestrial biome_wetland area_soil	0.05519244734931009	258.0	0.5891472868217055	154.0	0.987012987012987	0.03209418865293619
Environmental	Aquatic	Marine	Seaweed	Unclassified	marine biome	marine water body	organism	ENVO_00000447	ENVO_00001999	OBI_0100026	90.0	Environmental_Aquatic_Marine_Seaweed_Unclassified	marine biome_marine water body_organism	0.032679738562091505	90.0	1.0	94.0	0.9574468085106383	0.03128911138923655
Environmental	Aquatic	Marine	Intertidal zone	Estuary	estuarine biome	estuary	estuarine water	ENVO_01000020	ENVO_00000045	ENVO_01000301	182.0	Environmental_Aquatic_Marine_Intertidal zone_Estuary	estuarine biome_estuary_estuarine water	0.06608569353667393	349.0	0.5214899713467048	213.0	0.8544600938967136	0.029447280798374796
Environmental	Aquatic	Marine	Wetlands	Unclassified	marine biome	coastal wetland ecosystem		ENVO_00000447	ENVO_00000230		87.0	Environmental_Aquatic_Marine_Wetlands_Unclassified	marine biome_coastal wetland ecosystem_	0.03159041394335512	98.0	0.8877551020408163	87.0	1.0	0.028044551153794853
Environmental	Aquatic	Freshwater	Lake	Hypolimnion	freshwater lake biome	hypolimnion	lake water	ENVO_01000252	ENVO_00002130	ENVO_04000007	74.0	Environmental_Aquatic_Freshwater_Lake_Hypolimnion	freshwater lake biome_hypolimnion_lake water	0.026870007262164125	78.0	0.9487179487179487	76.0	0.9736842105263158	0.02482121453569682
Environmental	Aquatic	Freshwater	Creek	Unclassified	freshwater biome	bayou	fresh water	ENVO_00000873	ENVO_00000234	ENVO_00002011	79.0	Environmental_Aquatic_Freshwater_Creek_Unclassified	freshwater biome_bayou_fresh water	0.02868554829339143	79.0	1.0	93.0	0.8494623655913979	0.02436729371159057
Environmental	Aquatic	Marine	Strait	Unclassified	marine biome	ocean strait	sea water	ENVO_00000447	ENVO_01000651	ENVO_00002149	64.0	Environmental_Aquatic_Marine_Strait_Unclassified	marine biome_ocean strait_sea water	0.023238925199709513	64.0	1.0	64.0	1.0	0.023238925199709513
Environmental	Terrestrial	Soil	Glacier	Unclassified	terrestrial biome	glacial feature	soil	ENVO_00000446	ENVO_00000131	ENVO_00001998	65.0	Environmental_Terrestrial_Soil_Glacier_Unclassified	terrestrial biome_glacial feature_soil	0.023602033405954976	67.0	0.9701492537313433	66.0	0.9848484848484849	0.02255056335146083
Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	forest floor	forest soil	ENVO_01000174	ENVO_01001582	ENVO_00002261	310.0	Environmental_Terrestrial_Soil_Unclassified_Forest Soil	forest biome_forest floor_forest soil	0.11256354393609296	1549.0	0.2001291155584248	310.0	1.0	0.022527242492052176
Environmental	Terrestrial	Geologic	Sediment	Unclassified	terrestrial biome	archeological site	sediment	ENVO_00000446	ENVO_00000564	ENVO_00002007	99.0	Environmental_Terrestrial_Geologic_Sediment_Unclassified	terrestrial biome_archeological site_sediment	0.03594771241830065	163.0	0.6073619631901841	99.0	1.0	0.021833273186575245
Environmental	Aquatic	Freshwater	Lake	Cyanobacterial bloom	freshwater lake biome		Cyanobacteria	ENVO_01000252		NCBITaxon_1117	58.0	Environmental_Aquatic_Freshwater_Lake_Cyanobacterial bloom	freshwater lake biome__Cyanobacteria	0.021060275962236745	58.0	1.0	58.0	1.0	0.021060275962236745
Environmental	Aquatic	Marine	Fjord	Unclassified	marine biome	fjord	sea water	ENVO_00000447	ENVO_00000039	ENVO_00002149	56.0	Environmental_Aquatic_Marine_Fjord_Unclassified	marine biome_fjord_sea water	0.020334059549745823	56.0	1.0	56.0	1.0	0.020334059549745823
Environmental	Aquatic	Marine	Oceanic	Photic zone	marine biome	marine photic zone	sea water	ENVO_00000447	ENVO_00000209	ENVO_00002149	75.0	Environmental_Aquatic_Marine_Oceanic_Photic zone	marine biome_marine photic zone_sea water	0.027233115468409588	100.0	0.75	76.0	0.9868421052631579	0.020156088751289988
Environmental	Air	Indoor Air	Unclassified	Unclassified		hospital	air		ENVO_00002173	ENVO_00002005	61.0	Environmental_Air_Indoor Air_Unclassified_Unclassified	_hospital_air	0.02214960058097313	69.0	0.8840579710144928	61.0	1.0	0.019581530948396535
Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	pedosphere	soil	ENVO_00000446	ENVO_01000820	ENVO_00001998	368.0	Environmental_Terrestrial_Soil_Unclassified_Unclassified	terrestrial biome_pedosphere_soil	0.1336238198983297	2531.0	0.1453970762544449	368.0	1.0	0.019428512731167653
Environmental	Aquatic	Marine	Oceanic	Abyssal plane	oceanic abyssopelagic zone biome	marine benthic feature	sea water	ENVO_01000038	ENVO_01000105	ENVO_00002149	63.0	Environmental_Aquatic_Marine_Oceanic_Abyssal plane	oceanic abyssopelagic zone biome_marine benthic feature_sea water	0.02287581699346405	76.0	0.8289473684210527	63.0	1.0	0.018962848297213623
Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	marine salt marsh biome	saline marsh		ENVO_01000022	ENVO_00000054		126.0	Environmental_Aquatic_Marine_Intertidal zone_Salt marsh	marine salt marsh biome_saline marsh_	0.0457516339869281	305.0	0.4131147540983607	126.0	1.0	0.018900675024108003
Environmental	Aquatic	Freshwater	Lake	Sediment	freshwater lake biome	lake	lake sediment	ENVO_01000252	ENVO_00000020	ENVO_00000546	173.0	Environmental_Aquatic_Freshwater_Lake_Sediment	freshwater lake biome_lake_lake sediment	0.06281771968046478	567.0	0.30511463844797176	177.0	0.9774011299435028	0.018733462193890233
