	ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	ENV_BROAD_SCALE_LABEL	ENV_LOCAL_SCALE_LABEL	ENV_MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT
68	Environmental	Aquatic	Marine	Mesopelagic	Unclassified	oceanic mesopelagic zone biome	marine mesopelagic zone	sea water	ENVO_01000036	ENVO_00000213	ENVO_00002149	88
69	Environmental	Aquatic	Marine	Wetlands	Unclassified	marine biome	coastal wetland ecosystem		ENVO_00000447	ENVO_00000230		87
70	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	marine salt marsh biome	saline marsh	sediment	ENVO_01000022	ENVO_00000054	ENVO_00002007	85
71	Host-associated	Plants	Roots	Rhizosphere	Soil	terrestrial biome	rhizosphere	peat soil	ENVO_00000446	ENVO_00005801	ENVO_00005774	85
72	Environmental	Aquatic	Freshwater	River	Sediment	freshwater river biome	river		ENVO_01000253	ENVO_00000022		84
73	Environmental	Aquatic	Marine	Oceanic	Sediment	marine benthic biome	marine benthic feature	marine sediment	ENVO_01000024	ENVO_01000105	ENVO_03000033	84
74	Environmental	Aquatic	Marine	Wetlands	Sediment	marine biome	coastal wetland ecosystem	sediment	ENVO_00000447	ENVO_00000230	ENVO_00002007	80
75	Environmental	Terrestrial	Soil	Unclassified	Grasslands	grassland biome	land	grassland soil	ENVO_01000177	ENVO_01001785	ENVO_00005750	80
76	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome		soil	ENVO_00000446		ENVO_00001998	80
77	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	river bank	soil	ENVO_00000446	ENVO_00000143	ENVO_00001998	80
78	Environmental	Aquatic	Freshwater	Creek	Unclassified	freshwater biome	bayou	fresh water	ENVO_00000873	ENVO_00000234	ENVO_00002011	79
79	Environmental	Terrestrial	Peat	Unclassified	Unclassified	terrestrial biome	fen	permafrost	ENVO_00000446	ENVO_00000232	ENVO_00000134	78
80	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	needleleaf forest	forest soil	ENVO_01000174	ENVO_01000433	ENVO_00002261	78
81	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	mesocosm	greenhouse soil	ENVO_00000446	ENVO_01000620	ENVO_00005780	77
82	Environmental	Terrestrial	Soil	Unclassified	Permafrost	terrestrial biome	polar	permafrost	ENVO_00000446	ENVO_01000238	ENVO_00000134	76
83	Environmental	Aquatic	Marine	Oceanic	Photic zone	marine biome	marine photic zone	sea water	ENVO_00000447	ENVO_00000209	ENVO_00002149	75
84	Environmental	Aquatic	Freshwater	Lake	Hypolimnion	freshwater lake biome	hypolimnion	lake water	ENVO_01000252	ENVO_00002130	ENVO_04000007	74
85	Environmental	Aquatic	Marine	Oceanic	Unclassified	marine biome	marine water body	planktonic material	ENVO_00000447	ENVO_00001999	ENVO_01000063	74
86	Environmental	Terrestrial	Soil	Loam	Forest soil	forest biome	solid layer	forest soil	ENVO_01000174	ENVO_01001275	ENVO_00002261	74
87	Environmental	Terrestrial	Soil	Unclassified	Unclassified	grassland biome	biosphere reserve	grassland soil	ENVO_01000177	ENVO_00000376	ENVO_00005750	74
88	Environmental	Terrestrial	Soil	Unclassified	Forest Soil							73
89	Environmental	Aquatic	Marine	Unclassified	Unclassified	oceanic mesopelagic zone biome	marine mesopelagic zone	sea water	ENVO_01000036	ENVO_00000213	ENVO_00002149	72
90	Environmental	Aquatic	Marine	Intertidal zone	Unclassified	marine biome	intertidal zone	sea water	ENVO_00000447	ENVO_00000316	ENVO_00002149	70
91	Environmental	Aquatic	Marine	Sediment	Unclassified	marine benthic biome	marine benthic feature	marine sediment	ENVO_01000024	ENVO_01000105	ENVO_03000033	69
92	Environmental	Terrestrial	Soil	Sand	Desert	polar desert biome	desert	desert sand	ENVO_01000186	ENVO_01001357	ENVO_00005800	69
93	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	vadose zone	soil	ENVO_00000446	ENVO_00000328	ENVO_00001998	68
94	Environmental	Aquatic	Freshwater	Unclassified	Unclassified	freshwater biome	watershed	fresh water	ENVO_00000873	ENVO_00000292	ENVO_00002011	67
95	Environmental	Aquatic	Marine	Coastal	Unclassified	marine biome	river	sea water	ENVO_00000447	ENVO_00000022	ENVO_00002149	67
96	Environmental	Terrestrial	Peat	Unclassified	Unclassified	terrestrial biome	blanket bog	permafrost	ENVO_00000446	ENVO_00000511	ENVO_00000134	65
97	Environmental	Terrestrial	Soil	Glacier	Unclassified	terrestrial biome	glacial feature	soil	ENVO_00000446	ENVO_00000131	ENVO_00001998	65
98	Environmental	Aquatic	Marine	Strait	Unclassified	marine biome	ocean strait	sea water	ENVO_00000447	ENVO_01000651	ENVO_00002149	64
99	Environmental	Terrestrial	Geologic	Sediment	Unclassified	polar desert biome	desert	sediment	ENVO_01000186	ENVO_01001357	ENVO_00002007	64
100	Environmental	Aquatic	Marine	Oceanic	Abyssal plane	oceanic abyssopelagic zone biome	marine benthic feature	sea water	ENVO_01000038	ENVO_01000105	ENVO_00002149	63
101	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	solid layer	soil	ENVO_00000446	ENVO_01001275	ENVO_00001998	63
102	Environmental	Terrestrial	Soil	Unclassified	Grasslands	tropical grassland biome	solid layer	grassland soil	ENVO_01000192	ENVO_01001275	ENVO_00005750	62
103	Environmental	Air	Indoor Air	Unclassified	Unclassified		hospital	air		ENVO_00002173	ENVO_00002005	61
104	Environmental	Aquatic	Freshwater	Ice	Glacier	aquatic biome	glacier ice field	ice	ENVO_00002030	ENVO_01001532	ENVO_01001125	61
105	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	freshwater lake	planktonic material	ENVO_01000252	ENVO_00000021	ENVO_01000063	61
106	Environmental	Aquatic	Freshwater	Groundwater	Unclassified	freshwater biome	aquifer	groundwater	ENVO_00000873	ENVO_00012408	ENVO_01001004	60
107	Environmental	Aquatic	Marine	Oceanic	Sediment	marine benthic biome	marine benthic feature	deep marine sediment	ENVO_01000024	ENVO_01000105	ENVO_00002113	60
108	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	biosphere reserve	meadow soil	ENVO_00000446	ENVO_00000376	ENVO_00005761	60
109	Environmental	Aquatic	Freshwater	Pond	Unclassified	aquatic biome	microcosm	fresh water	ENVO_00002030	ENVO_01000621	ENVO_00002011	59
110	Environmental	Terrestrial	Peat	Unclassified	Unclassified	terrestrial biome	palsa	permafrost	ENVO_00000446	ENVO_00000489	ENVO_00000134	59
111	Environmental	Terrestrial	Rock-dwelling (endoliths)	Unclassified	Unclassified	terrestrial biome	endolithic environment	rock	ENVO_00000446	ENVO_01000303	ENVO_00001995	59
112	Environmental	Aquatic	Freshwater	Lake	Cyanobacterial bloom	freshwater lake biome		Cyanobacteria	ENVO_01000252		NCBITaxon_1117	58
113	Environmental	Aquatic	Marine	Wetlands	Sediment	marine biome	saline wetland	sediment	ENVO_00000447	ENVO_00000240	ENVO_00002007	58
114	Environmental	Terrestrial	Soil	Unclassified	Permafrost	polar biome	polar	peat soil	ENVO_01000339	ENVO_01000238	ENVO_00005774	57
115	Environmental	Aquatic	Freshwater	Lentic	Unclassified	freshwater lake biome	freshwater lake	lake water	ENVO_01000252	ENVO_00000021	ENVO_04000007	56
116	Environmental	Aquatic	Marine	Fjord	Unclassified	marine biome	fjord	sea water	ENVO_00000447	ENVO_00000039	ENVO_00002149	56
117	Environmental	Aquatic	Marine	Oceanic	Aphotic zone	marine biome	marine aphotic zone	sea water	ENVO_00000447	ENVO_00000210	ENVO_00002149	56
118	Environmental	Terrestrial	Plant litter	Unclassified	Unclassified	terrestrial biome	agricultural field	plant litter	ENVO_00000446	ENVO_00000114	ENVO_01000628	56
119	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	marine salt marsh biome	intertidal zone	sediment	ENVO_01000022	ENVO_00000316	ENVO_00002007	55
120	Environmental	Terrestrial	Oil reservoir	Unclassified	Unclassified	terrestrial biome	oil well	oil	ENVO_00000446	ENVO_01000003	ENVO_00002985	55
121	Environmental	Aquatic	Non-marine Saline and Alkaline	Hypersaline	Unclassified	aquatic biome	hypersaline lake	lake water	ENVO_00002030	ENVO_01001020	ENVO_04000007	54
122	Environmental	Aquatic	Freshwater	Wetlands	Sediment	aquatic biome	wetland area	sediment	ENVO_00002030	ENVO_00000043	ENVO_00002007	53
123	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment	aquatic biome	hot spring	sediment	ENVO_00002030	ENVO_00000051	ENVO_00002007	53
124	Environmental	Terrestrial	Plant litter	Unclassified	Unclassified	forest biome	litter layer	plant litter	ENVO_01000174	ENVO_01000338	ENVO_01000628	53
125	Host-associated	Plants	Roots	Bulk soil	Unclassified	terrestrial biome	rhizosphere	bulk soil	ENVO_00000446	ENVO_00005801	ENVO_00005802	53
126	Host-associated	Plants	Roots	Rhizosphere	Soil	terrestrial biome	rhizosphere	soil	ENVO_00000446	ENVO_00005801	ENVO_00001998	53
127	Environmental	Terrestrial	Soil	Sand	Unclassified	terrestrial biome	beach	beach sand	ENVO_00000446	ENVO_00000091	ENVO_00002138	52
128	Environmental	Terrestrial	Soil	Sand	Unclassified	terrestrial biome	river	sand	ENVO_00000446	ENVO_00000022	ENVO_01000017	50
129	Environmental	Terrestrial	Soil	Unclassified	Permafrost	terrestrial biome	active permafrost layer	permafrost	ENVO_00000446	ENVO_04000009	ENVO_00000134	50
130	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	marine water body	surface water	ENVO_00000447	ENVO_00001999	ENVO_00002042	49
131	Environmental	Terrestrial	Soil	Wetlands	Unclassified	tropical biome	peatland	peat soil	ENVO_01001830	ENVO_00000044	ENVO_00005774	49
132	Environmental	Aquatic	Aquaculture	Shrimp pond	Unclassified	aquatic biome	shrimp pond	pond water	ENVO_00002030	ENVO_01000905	ENVO_00002228	48
133	Environmental	Aquatic	Marine	Hydrothermal vents	Sediment	marine hydrothermal vent biome	marine hydrothermal vent	sediment	ENVO_01000030	ENVO_01000122	ENVO_00002007	48
134	Environmental	Aquatic	Thermal springs	Hot (42-90C)	Sediment							48
135	Environmental	Terrestrial	Soil	Unclassified	Orchard soil	terrestrial biome	orchard	orchard soil	ENVO_00000446	ENVO_00000115	ENVO_00005772	48
136	Environmental	Aquatic	Non-marine Saline and Alkaline	Saline	Unclassified	aquatic biome	lake	saline water	ENVO_00002030	ENVO_00000020	ENVO_00002010	47
137	Environmental	Aquatic	Sediment	Unclassified	Unclassified	aquatic biome	aquifer	sediment	ENVO_00002030	ENVO_00012408	ENVO_00002007	47
138	Environmental	Terrestrial	Soil	Sand	Desert	desert biome	desert	soil	ENVO_01000179	ENVO_01001357	ENVO_00001998	47
139	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	temperate broadleaf forest biome	temperate deciduous broadleaf forest	forest soil	ENVO_01000202	ENVO_01000385	ENVO_00002261	46
140	Environmental	Aquatic	Freshwater	Pond	Unclassified	aquatic biome		pond water	ENVO_00002030		ENVO_00002228	45
141	Environmental	Aquatic	Freshwater	Wetlands	Bog	freshwater biome	peatland	peat soil	ENVO_00000873	ENVO_00000044	ENVO_00005774	45
142	Environmental	Terrestrial	Soil	Soil crust	Unclassified	desert biome	desert	soil biocrust	ENVO_01000179	ENVO_01001357	ENVO_01000910	45
143	Environmental	Terrestrial	Soil	Unclassified	Unclassified	polar biome	polar	soil	ENVO_01000339	ENVO_01000238	ENVO_00001998	45
144	Environmental	Aquatic	Freshwater	Groundwater	Unclassified	freshwater biome		groundwater	ENVO_00000873		ENVO_01001004	44
145	Environmental	Terrestrial	Soil	Unclassified	Grasslands	terrestrial biome	prairie	soil	ENVO_00000446	ENVO_00000260	ENVO_00001998	44
146	Environmental	Terrestrial	Soil	Unclassified	Forest Soil	forest biome	polar	forest soil	ENVO_01000174	ENVO_01000238	ENVO_00002261	43
147	Environmental	Aquatic	Marine	Hydrothermal vents	Microbial mats	marine hydrothermal vent biome	marine hydrothermal vent	microbial mat	ENVO_01000030	ENVO_01000122	ENVO_01000008	41
148	Environmental	Aquatic	Marine	Unclassified	Unclassified	marine biome	marine water body	planktonic material	ENVO_00000447	ENVO_00001999	ENVO_01000063	41
149	Environmental	Terrestrial	Soil	Loam	Grasslands	grassland biome	land	fertilized soil	ENVO_01000177	ENVO_01001785	ENVO_00005754	41
150	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	oligotrophic lake	lake water	ENVO_01000252	ENVO_01000774	ENVO_04000007	40
151	Environmental	Aquatic	Freshwater	Wetlands	Bog	freshwater biome	blanket bog	peat soil	ENVO_00000873	ENVO_00000511	ENVO_00005774	40
152	Environmental	Aquatic	Marine	Intertidal zone	Unclassified	marine biome	bay	sea water	ENVO_00000447	ENVO_00000032	ENVO_00002149	40
153	Environmental	Terrestrial	Soil	Unclassified	Uranium contaminated	aquatic biome	flood plain	sediment	ENVO_00002030	ENVO_00000255	ENVO_00002007	40
154	Environmental	Aquatic	Unclassified	Unclassified	Unclassified	aquatic biome	beach	liquid water	ENVO_00002030	ENVO_00000091	ENVO_00002006	39
155	Environmental	Terrestrial	Soil	Unclassified	Unclassified	anthropogenic terrestrial biome	anthropogenic geographic feature	soil	ENVO_01000219	ENVO_00000002	ENVO_00001998	39
156	Environmental	Aquatic	Freshwater	Wetlands	Unclassified	freshwater biome	peatland	peat soil	ENVO_00000873	ENVO_00000044	ENVO_00005774	38
157	Environmental	Aquatic	Unclassified	Unclassified	Unclassified	aquatic biome	river	fresh water	ENVO_00002030	ENVO_00000022	ENVO_00002011	38
158	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	plain	soil	ENVO_00000446	ENVO_00000086	ENVO_00001998	38
159	Environmental	Terrestrial	Soil	Unclassified	Unclassified	terrestrial biome	rhizosphere	soil	ENVO_00000446	ENVO_00005801	ENVO_00001998	38
160	Environmental	Aquatic	Freshwater	Groundwater	Unclassified	freshwater biome	planetary subsurface zone	groundwater	ENVO_00000873	ENVO_01000941	ENVO_01001004	37
161	Environmental	Aquatic	Freshwater	Sediment	Unclassified	freshwater river biome	river		ENVO_01000253	ENVO_00000022		37
162	Environmental	Aquatic	Freshwater	Sediment	Unclassified	freshwater biome	pond	sediment	ENVO_00000873	ENVO_00000033	ENVO_00002007	36
163	Environmental	Terrestrial	Floodplain	Sediment	Unclassified							36
164	Environmental	Terrestrial	Soil	Unclassified	Oil-contaminated	terrestrial biome	land	oil contaminated soil	ENVO_00000446	ENVO_01001785	ENVO_00002875	35
165	Environmental	Aquatic	Freshwater	Ice	Cryoconite	aquatic biome	cryoconite hole	cryoconite deposit	ENVO_00002030	ENVO_03000039	ENVO_03000038	34
166	Environmental	Aquatic	Freshwater	Lake	Unclassified	freshwater lake biome	eutrophic lake	lake water	ENVO_01000252	ENVO_01000548	ENVO_04000007	34
167	Environmental	Terrestrial	Nest	Alligator nest	Unclassified	terrestrial biome	animal habitation		ENVO_00000446	ENVO_00005803		34
168	Environmental	Aquatic	Freshwater	Groundwater	Coalbed water	aquatic biome	coal mine	underground water	ENVO_00002030	ENVO_00002169	ENVO_00005792	33
169	Environmental	Terrestrial	Agricultural field	Unclassified	Unclassified	terrestrial biome	paddy field	paddy field soil	ENVO_00000446	ENVO_00000297	ENVO_00005740	33
170	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	terrestrial biome	paddy field	paddy field soil	ENVO_00000446	ENVO_00000297	ENVO_00005740	33
171	Environmental	Aquatic	Marine	Intertidal zone	Coral reef	marine coral reef biome	coral reef	organism	ENVO_01000049	ENVO_00000150	OBI_0100026	32
172	Environmental	Aquatic	Marine	Oceanic	Crustal Fluids	marine biome	marine water body		ENVO_00000447	ENVO_00001999		32
173	Environmental	Aquatic	Freshwater	Ice	Unclassified	polar desert biome	desert	desert sand	ENVO_01000186	ENVO_01001357	ENVO_00005800	31
174	Environmental	Terrestrial	Soil	Clay	Grasslands	grassland biome	land	bulk soil	ENVO_01000177	ENVO_01001785	ENVO_00005802	31
175	Environmental	Air	Outdoor Air	Unclassified	Unclassified		troposphere	air		ENVO_01000540	ENVO_00002005	30
176	Environmental	Aquatic	Freshwater	Drinking water	Unclassified	freshwater biome	waterhole	fresh water	ENVO_00000873	ENVO_00000547	ENVO_00002011	30
177	Environmental	Aquatic	Freshwater	Wetlands	Sediment	aquatic biome	island	sediment	ENVO_00002030	ENVO_00000098	ENVO_00002007	30
178	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	marine biome	lagoon	microbial mat	ENVO_00000447	ENVO_00000038	ENVO_01000008	30
179	Environmental	Terrestrial	Soil	Loam	Agricultural soil	terrestrial biome	agricultural field	bulk soil	ENVO_00000446	ENVO_00000114	ENVO_00005802	30
180	Environmental	Terrestrial	Soil	Unclassified	Agricultural	cropland biome	area of cropland	agricultural soil	ENVO_01000245	ENVO_01000892	ENVO_00002259	30
181	Environmental	Terrestrial	Soil	Unclassified	Agricultural	terrestrial biome	agricultural field	arable soil	ENVO_00000446	ENVO_00000114	ENVO_00005742	30
